ticker,ipo_date
ADV,2020-10-29
ALGM,2020-10-29
LESL,2020-10-29
SVAC,2020-11-02
SMTI,2020-11-02
TMTS,2020-11-02
FULTP,2020-11-03
BALY,2020-11-09
RZLT,2020-11-09
INM,2020-11-12
SMID,2020-11-17
EOSE,2020-11-17
VTRS,2020-11-17
MP,2020-11-18
GCMG,2020-11-18
TVTX,2020-11-19
OLMA,2020-11-19
TLS,2020-11-19
SHC,2020-11-20
MRVI,2020-11-20
BHFAN,2020-11-23
LIXT,2020-11-25
QS,2020-11-27
IPOD,2020-11-30
IGAC,2020-12-01
WRAP,2020-12-01
PRG,2020-12-01
POWW,2020-12-01
ONDS,2020-12-04
SEER,2020-12-04
DSAC,2020-12-07
PUBM,2020-12-09
DASH,2020-12-09
HYFM,2020-12-10
FDMT,2020-12-11
ABCL,2020-12-11
VVOS,2020-12-11
CERT,2020-12-11
BCAB,2020-12-16
UPST,2020-12-16
SKLZ,2020-12-17
ACIC,2020-12-18
MASS,2020-12-18
OPEN,2020-12-21
CSR,2020-12-21
ASLE,2020-12-23
ARKO,2020-12-23
IKT,2020-12-23
PRCH,2020-12-24
LFT,2020-12-28
GEG,2020-12-29
RSI,2020-12-30
CLNN,2020-12-31
ENVB,2020-12-31
STRR,2021-01-04
ELDN,2021-01-05
CLOV,2021-01-08
CGEM,2021-01-08
LEXX,2021-01-12
MSGM,2021-01-13
AFRM,2021-01-13
DRVN,2021-01-15
PLTK,2021-01-15
VS,2021-01-15
VRDN,2021-01-20
DFH,2021-01-21
AFBI,2021-01-21
MNTK,2021-01-22
UWMC,2021-01-22
RILYT,2021-01-26
SHLS,2021-01-27
TRIN,2021-01-29
CLVT,2021-02-01
ALTO,2021-02-01
SNSE,2021-02-04
VOR,2021-02-05
BOLT,2021-02-05
AEI,2021-02-05
BLUW,2021-02-09
DSP,2021-02-10
GTBP,2021-02-11
BVS,2021-02-11
LDI,2021-02-11
WAFDP,2021-02-11
BMBL,2021-02-11
NUVB,2021-02-11
PLBY,2021-02-11
LGVN,2021-02-12
UGRO,2021-02-12
BFLY,2021-02-16
AMPG,2021-02-17
TNL,2021-02-17
AUUD,2021-02-17
ACR,2021-02-17
PPTA,2021-02-18
LFMD,2021-02-22
BCTX,2021-02-24
REPX,2021-03-01
CHPT,2021-03-01
LWAC,2021-03-01
SPNT,2021-03-01
FORA,2021-03-03
INNV,2021-03-04
FERG,2021-03-08
HCIC,2021-03-08
IBRX,2021-03-10
RBLX,2021-03-10
CPNG,2021-03-11
HAYW,2021-03-12
OUST,2021-03-12
AEVA,2021-03-15
GANX,2021-03-18
PCT,2021-03-18
CNTB,2021-03-19
AFCG,2021-03-19
NOTV,2021-03-22
MBINN,2021-03-23
NVVE,2021-03-23
MOVE,2021-03-23
ACVA,2021-03-24
DOCN,2021-03-24
CRCT,2021-03-25
ALHC,2021-03-26
TDUP,2021-03-26
EWTX,2021-03-26
DSGN,2021-03-26
FKWL,2021-03-29
FRST,2021-03-31
COUR,2021-03-31
COMP,2021-04-01
ULCC,2021-04-01
VABK,2021-04-05
FOA,2021-04-05
CTOS,2021-04-05
ASTS,2021-04-07
WFCF,2021-04-12
XOMAO,2021-04-12
ALKT,2021-04-14
COIN,2021-04-14
ASPC,2021-04-14
APP,2021-04-15
KRT,2021-04-15
AGL,2021-04-15
BMEA,2021-04-16
FACT,2021-04-19
VELO,2021-04-19
SKYT,2021-04-21
NPCE,2021-04-22
RAIN,2021-04-23
SWIM,2021-04-23
CMII,2021-04-23
TMCI,2021-04-23
NUWE,2021-04-27
FTCI,2021-04-28
PALI,2021-04-28
PRVA,2021-04-29
AVAH,2021-04-29
ATER,2021-04-30
HOWL,2021-04-30
RCAT,2021-04-30
ALF,2021-05-04
BYRN,2021-05-05
HNST,2021-05-05
SKIN,2021-05-06
BWMN,2021-05-07
WALD,2021-05-12
GLBE,2021-05-12
DBGI,2021-05-14
DTST,2021-05-14
VERA,2021-05-14
OWL,2021-05-20
PCOR,2021-05-20
NEWP,2021-05-20
OXSQG,2021-05-21
NRXP,2021-05-25
NMTC,2021-05-26
ZIP,2021-05-26
FIGS,2021-05-27
SOFI,2021-06-01
WFRD,2021-06-02
BARK,2021-06-02
OGN,2021-06-03
KULR,2021-06-07
JBI,2021-06-08
MQ,2021-06-09
HBANM,2021-06-10
NAUT,2021-06-10
ZETA,2021-06-10
DIBS,2021-06-10
MNDY,2021-06-10
KPLT,2021-06-10
LFST,2021-06-10
INDI,2021-06-11
JANX,2021-06-11
TASK,2021-06-11
QSI,2021-06-11
SBEV,2021-06-11
ACGLN,2021-06-14
SKIL,2021-06-14
ALZN,2021-06-15
HUT,2021-06-15
GAME,2021-06-17
AOMR,2021-06-17
LYEL,2021-06-17
ISPC,2021-06-17
FEMY,2021-06-18
IPSC,2021-06-18
GIC,2021-06-21
DBRG,2021-06-22
MYPS,2021-06-22
CXM,2021-06-23
TALK,2021-06-23
FA,2021-06-23
DOCS,2021-06-24
GECCO,2021-06-24
GLUE,2021-06-24
BRSP,2021-06-25
ORGN,2021-06-25
MCW,2021-06-25
ACXP,2021-06-25
PWP,2021-06-25
TPST,2021-06-28
PAYO,2021-06-28
META,2021-06-30
XMTR,2021-06-30
TBLA,2021-06-30
INTA,2021-06-30
CVRX,2021-06-30
YOU,2021-06-30
LZ,2021-06-30
DNUT,2021-07-01
DTM,2021-07-01
ABOS,2021-07-01
EVCM,2021-07-01
CURV,2021-07-01
EVGO,2021-07-02
AVPT,2021-07-02
ENSC,2021-07-02
ALIT,2021-07-06
CLBR,2021-07-07
MITQ,2021-07-08
RNAZ,2021-07-09
GIW,2021-07-12
NECB,2021-07-13
UNCY,2021-07-13
UP,2021-07-14
SGHT,2021-07-15
RPID,2021-07-15
PECO,2021-07-15
QUBT,2021-07-15
HLMN,2021-07-15
ENVX,2021-07-15
SERA,2021-07-15
TCBS,2021-07-16
ERAS,2021-07-16
BLND,2021-07-16
OWLT,2021-07-16
HLLY,2021-07-19
CELU,2021-07-19
HCWB,2021-07-20
NABL,2021-07-20
LAW,2021-07-21
OPFI,2021-07-21
VEEE,2021-07-21
KLTR,2021-07-21
MKTW,2021-07-22
ABSI,2021-07-22
ZVIA,2021-07-22
RYAN,2021-07-22
CRBU,2021-07-23
USCB,2021-07-23
XPOF,2021-07-23
CNM,2021-07-23
CTKB,2021-07-23
LCID,2021-07-26
MVST,2021-07-26
CADL,2021-07-27
SBET,2021-07-28
RSVR,2021-07-29
COOK,2021-07-29
RLYB,2021-07-29
NUVL,2021-07-29
IMRX,2021-07-30
RXST,2021-07-30
MXCT,2021-07-30
TNYA,2021-07-30
INAB,2021-07-30
RANI,2021-07-30
DOLE,2021-07-30
GXO,2021-08-02
BBWI,2021-08-03
HIPO,2021-08-03
STGW,2021-08-03
ECVT,2021-08-03
VSCO,2021-08-03
ABVC,2021-08-03
WKSP,2021-08-04
INDP,2021-08-04
OBT,2021-08-05
PMCB,2021-08-10
JOBY,2021-08-11
TRON,2021-08-11
TNGX,2021-08-11
SRZN,2021-08-12
MNTS,2021-08-13
DRMA,2021-08-13
ETD,2021-08-16
SPIR,2021-08-17
BWBBP,2021-08-18
LIDR,2021-08-18
GAINZ,2021-08-19
XOS,2021-08-20
AUID,2021-08-24
RKLB,2021-08-25
RNXT,2021-08-26
AVTX,2021-08-26
HUMA,2021-08-27
SOTK,2021-08-27
CIFR,2021-08-30
CNOBP,2021-08-30
CCEL,2021-08-31
FCUV,2021-08-31
CLBT,2021-08-31
LWLG,2021-09-01
OPAD,2021-09-02
JATT,2021-09-03
RDW,2021-09-03
WHLRL,2021-09-03
WLTH,2021-09-09
TMC,2021-09-10
BKSY,2021-09-10
APAC,2021-09-14
BTCS,2021-09-14
PRCT,2021-09-15
GREE,2021-09-15
TYRA,2021-09-15
KTTA,2021-09-15
DH,2021-09-15
BROS,2021-09-15
DNA,2021-09-17
ACHR,2021-09-17
VATE,2021-09-20
JXN,2021-09-20
MTAL,2021-09-20
SWAG,2021-09-20
NRDY,2021-09-21
TOST,2021-09-22
AKA,2021-09-22
BRLT,2021-09-23
CWAN,2021-09-24
JSPR,2021-09-27
AMPL,2021-09-28
WRBY,2021-09-29
OLPX,2021-09-30
SLVM,2021-10-01
SEVN,2021-10-01
ROIV,2021-10-01
IONQ,2021-10-01
FWRG,2021-10-01
KORE,2021-10-01
NTRB,2021-10-01
XPRO,2021-10-04
WOLF,2021-10-04
CION,2021-10-05
ZWS,2021-10-05
GIPR,2021-10-05
RRX,2021-10-05
LVO,2021-10-06
LTH,2021-10-07
CCSI,2021-10-08
CGTX,2021-10-08
PYXS,2021-10-08
ZD,2021-10-08
GWH,2021-10-11
IVT,2021-10-12
PONO,2021-10-12
BBLG,2021-10-13
CLST,2021-10-13
HCTI,2021-10-13
LUCD,2021-10-14
GREEL,2021-10-14
INKT,2021-10-15
BKKT,2021-10-18
SEAT,2021-10-19
FBRT,2021-10-19
HHH,2021-10-20
CYN,2021-10-20
NVTS,2021-10-20
CNTX,2021-10-20
PTLO,2021-10-21
MIR,2021-10-21
RWAY,2021-10-21
COCO,2021-10-21
XLO,2021-10-22
SABS,2021-10-25
HNNAZ,2021-10-25
RENT,2021-10-27
AIP,2021-10-27
OFSSH,2021-10-28
GFS,2021-10-28
BXSL,2021-10-28
FLNC,2021-10-28
TRDA,2021-10-29
BFRI,2021-10-29
NN,2021-10-29
AURA,2021-10-29
AIRS,2021-10-29
MLKN,2021-11-01
SURG,2021-11-02
CMPX,2021-11-02
BIRD,2021-11-03
FNWD,2021-11-03
CMTG,2021-11-03
KD,2021-11-04
ARHS,2021-11-04
AUR,2021-11-04
SLNH,2021-11-04
CDRE,2021-11-04
NRDS,2021-11-04
BRTX,2021-11-05
DCGO,2021-11-08
KPRX,2021-11-08
PRM,2021-11-09
TCBX,2021-11-09
SOPA,2021-11-09
AACI,2021-11-10
EXFY,2021-11-10
RIVN,2021-11-10
BJDX,2021-11-10
WEAV,2021-11-11
LVLU,2021-11-11
BLZE,2021-11-11
BTBD,2021-11-12
TOI,2021-11-15
ONL,2021-11-15
SNDA,2021-11-15
PFXNZ,2021-11-16
IREN,2021-11-17
BRZE,2021-11-17
FINW,2021-11-19
LOCL,2021-11-22
BHFAM,2021-11-23
ATLCL,2021-11-23
CTGO,2021-11-24
BAFN,2021-11-30
AZTA,2021-12-01
CELZ,2021-12-03
HGTY,2021-12-03
BZFD,2021-12-06
PIII,2021-12-06
BBAI,2021-12-08
REFI,2021-12-08
PL,2021-12-08
CRGY,2021-12-08
CING,2021-12-08
SLDP,2021-12-09
VRE,2021-12-10
SIDU,2021-12-14
WULF,2021-12-14
IMMX,2021-12-16
SSSSL,2021-12-17
PRSO,2021-12-20
ALLR,2021-12-21
NXGL,2021-12-22
HYPR,2021-12-23
FNGR,2021-12-28
ROC,2021-12-29
DOUG,2021-12-30
APLD,2021-12-31
