cohort,series,horizon,median,hit_rate_pos,n
pres_R_win,Bonds,pre60,-2.7657012895650444,0.3333333333333333,3
pres_R_win,Bonds,+120,-1.070811489559616,0.3333333333333333,3
pres_R_win,Bonds,pre120,0.8569027792001677,1.0,3
pres_R_win,Gold,+20,-5.981452456483332,0.0,2
pres_R_win,Gold,pre20,3.0605004008773244,1.0,2
pres_R_win,Gold,+60,0.16979895552498503,0.5,2
pres_R_win,Gold,pre60,2.7632707020097307,0.5,2
pres_R_win,Gold,+120,6.521234736413927,0.5,2
pres_R_win,Gold,pre120,7.722160652644851,1.0,2
pres_R_win,EM_minus_US,+20,-8.223917155477846,0.3333333333333333,3
pres_R_win,EM_minus_US,pre20,0.2859852486826011,0.6666666666666666,3
pres_R_win,EM_minus_US,+60,-6.248960687039784,0.3333333333333333,3
pres_R_win,EM_minus_US,pre60,1.2776953422249124,0.6666666666666666,3
pres_R_win,EM_minus_US,+120,-0.8563646638067528,0.3333333333333333,3
pres_R_win,EM_minus_US,pre120,10.755732616738664,0.6666666666666666,3
pres_R_win,China_minus_US,+20,-9.425439437396175,0.0,2
pres_R_win,China_minus_US,pre20,-2.603972160091104,0.0,2
pres_R_win,China_minus_US,+60,-7.226030469647047,0.0,2
pres_R_win,China_minus_US,pre60,8.08724286229542,1.0,2
pres_R_win,China_minus_US,+120,-0.45884825324168865,0.5,2
pres_R_win,China_minus_US,pre120,8.673613335399624,1.0,2
pres_R_win,Europe_minus_US,+20,-2.5646042061192027,0.3333333333333333,3
pres_R_win,Europe_minus_US,pre20,-1.2195389029028256,0.3333333333333333,3
pres_R_win,Europe_minus_US,+60,-2.156241193669479,0.3333333333333333,3
pres_R_win,Europe_minus_US,pre60,-1.2085683252798591,0.3333333333333333,3
pres_R_win,Europe_minus_US,+120,4.409092084409175,1.0,3
pres_R_win,Europe_minus_US,pre120,-6.125870955964826,0.3333333333333333,3
pres_R_win,flow_US,+4,3.2694917969673902,1.0,3
pres_R_win,flow_US,pre4,2.016440719177904,1.0,3
pres_R_win,flow_US,+13,5.872840403037348,1.0,3
pres_R_win,flow_US,pre13,2.7658354097852733,1.0,3
pres_R_win,flow_US,+26,18.441380354239644,1.0,3
pres_R_win,flow_US,pre26,10.901664950066934,1.0,3
pres_R_win,flow_EM,+4,-0.11870633659562108,0.3333333333333333,3
pres_R_win,flow_EM,pre4,0.40062457988505146,0.6666666666666666,3
pres_R_win,flow_EM,+13,5.758713979725631,0.6666666666666666,3
pres_R_win,flow_EM,pre13,1.0598922150895405,1.0,3
pres_R_win,flow_EM,+26,18.844363993694166,1.0,3
pres_R_win,flow_EM,pre26,18.997055589414835,0.6666666666666666,3
pres_R_win,flow_China,+4,-8.223899955018812,0.0,2
pres_R_win,flow_China,pre4,-3.860502244856576,0.0,2
pres_R_win,flow_China,+13,-17.12690104156747,0.0,2
pres_R_win,flow_China,pre13,26.349738620426727,1.0,2
pres_R_win,flow_China,+26,-26.695898202279892,0.0,2
pres_R_win,flow_China,pre26,17.730946643795924,0.5,2
pres_R_win,flow_Europe,+4,2.273958193959256,0.75,4
pres_R_win,flow_Europe,pre4,0.9071982193689676,0.75,4
pres_R_win,flow_Europe,+13,3.9839266353281655,0.75,4
pres_R_win,flow_Europe,pre13,1.8131852515559999,0.5,4
pres_R_win,flow_Europe,+26,12.495925488599186,0.75,4
pres_R_win,flow_Europe,pre26,2.4184806066891693,0.5,4
pres_R_win,flow_Bonds,+4,-2.733210538518197,0.3333333333333333,3
pres_R_win,flow_Bonds,pre4,2.1602848488233315,0.6666666666666666,3
pres_R_win,flow_Bonds,+13,-2.020393236761036,0.3333333333333333,3
pres_R_win,flow_Bonds,pre13,6.549328696304009,1.0,3
pres_R_win,flow_Bonds,+26,4.77533313925862,0.6666666666666666,3
pres_R_win,flow_Bonds,pre26,14.358019888741754,1.0,3
pres_R_win,flow_Gold,+4,-3.312915938093043,0.5,2
pres_R_win,flow_Gold,pre4,-1.0949253089671616,0.5,2
pres_R_win,flow_Gold,+13,-2.484717082035694,0.5,2
pres_R_win,flow_Gold,pre13,0.7222416025263643,0.5,2
pres_R_win,flow_Gold,+26,3.5426160984747206,0.5,2
pres_R_win,flow_Gold,pre26,5.344911822306404,1.0,2
pres_R_win,flow_Cash,+4,2.103515638657369,1.0,2
pres_R_win,flow_Cash,pre4,0.09033489542809159,0.5,2
